file,c,u,freq_vpro,freq_risc,freq_dma,cycles_vpro,cycles_risc,cycles_dma,parallel_dma,util_dma,util_l0,util_l1,util_ls
./results/statistic_detail_1C1U2L.log,1,1,400,100,100,131467352,32866839,32866839,99.9,21.8442,94.64,95.22,93.16
./results/statistic_detail_1C2U2L.log,1,2,400,100,100,65774904,16443727,16443727,99.9,23.5356,94.61,95.19,93.11
./results/statistic_detail_1C3U2L.log,1,3,400,100,100,44521936,11130485,11130485,99.9,26.2139,94.59,95.17,93.13
./results/statistic_detail_1C4U2L.log,1,4,400,100,100,32935620,8233906,8233906,99.9,27.1146,94.47,95.05,92.98
./results/statistic_detail_1C5U2L.log,1,5,400,100,100,26781300,6695326,6695326,99.9,30.7413,94.32,94.9,92.82
./results/statistic_detail_1C6U2L.log,1,6,400,100,100,22592356,5648090,5648090,99.9,32.2127,93.98,94.56,92.49
./results/statistic_detail_1C7U2L.log,1,7,400,100,100,19990932,4997734,4997734,99.9,34.3474,93.25,93.82,91.83
./results/statistic_detail_1C8U2L.log,1,8,400,100,100,16805492,4201374,4201374,99.9,33.618,92.58,93.14,91.11
./results/statistic_detail_1C9U2L.log,1,9,400,100,100,16111012,4027754,4027754,99.9,37.646,91.43,91.98,90.06
./results/statistic_detail_1C10U2L.log,1,10,400,100,100,14398576,3599645,3599645,99.9,39.1784,90.31,90.87,88.85
./results/statistic_detail_1C11U2L.log,1,11,400,100,100,13053528,3263383,3263383,99.9,41.4069,89.22,89.77,87.81
./results/statistic_detail_1C12U2L.log,1,12,400,100,100,12460264,3115067,3115067,99.9,40.9893,88.57,89.12,87.14
./results/statistic_detail_1C13U2L.log,1,13,400,100,100,11161992,2790499,2790499,99.9,44.7916,87.11,87.65,85.74
./results/statistic_detail_1C14U2L.log,1,14,400,100,100,11006520,2751631,2751631,99.9,44.7825,86.69,87.23,85.32
./results/statistic_detail_1C15U2L.log,1,15,400,100,100,10579588,2644898,2644898,99.9,46.0423,85.93,86.46,84.54
./results/statistic_detail_1C16U2L.log,1,16,400,100,100,9212820,2303206,2303206,99.9,44.2786,84.44,84.95,83.1
./results/statistic_detail_1C17U2L.log,1,17,400,100,100,9267264,2316817,2316817,99.9,49.5932,83.7,84.21,82.38
./results/statistic_detail_1C18U2L.log,1,18,400,100,100,9117564,2279392,2279392,99.9,49.6574,83.33,83.84,82.0
./results/statistic_detail_1C19U2L.log,1,19,400,100,100,8679668,2169918,2169918,99.9,51.3197,82.34,82.85,80.99
./results/statistic_detail_1C20U2L.log,1,20,400,100,100,8551612,2137904,2137904,99.9,50.8463,81.97,82.48,80.62
./results/statistic_detail_2C1U2L.log,2,1,400,100,100,65774248,16443563,16443563,86.1221,21.7821,94.61,95.19,93.11
